Iter	RQ1	ASQ1	SHSQ1	RQ15	ASQ15	SHSQ15	RS	ASS	SHSS
26500	4,1926	2,17473	2,86803	3,9611	1,67627	2,53333	5,5906	2,9041	3,89683
26600	4,17267	2,15833	2,82683	3,95593	1,7495	2,5816	5,5157	3,04453	3,88527
26700	4,2229	2,2021	2,86703	3,9591	1,7366	2,54953	5,54303	2,99197	3,94667
26800	4,22763	2,20593	2,85433	3,98837	1,72117	2,55153	5,57583	2,9734	3,92227
26900	4,24583	2,16813	2,89227	3,9904	1,7451	2,5389	5,70927	2,77333	3,92373
27000	4,27383	2,21723	2,86227	3,988	1,7595	2,4978	5,79583	3,06617	3,98763
27100	4,25793	2,21187	2,88807	4,06907	1,71537	2,58533	5,6955	2,99487	4,04127
27200	4,31437	2,2521	2,93433	4,04407	1,74233	2,6412	5,72937	2,85883	3,98863
27300	4,3028	2,22383	2,92267	4,07437	1,78623	2,59037	5,73167	2,89757	4,0152
27400	4,33767	2,2343	2,9201	4,0541	1,76167	2,60877	5,72973	3,11757	4,05477
27500	4,31933	2,2472	2,96017	4,10123	1,76257	2,61963	5,7266	2,93067	4,01807
27600	4,36177	2,2461	2,96897	4,10143	1,80633	2,64813	5,7633	2,86603	4,0658
27700	4,37523	2,309	2,99407	4,13433	1,82103	2,64703	5,80737	3,0269	4,0557
27800	4,40793	2,2548	3,00603	4,15637	1,82343	2,62523	5,8508	2,9506	4,05743
27900	4,4128	2,25777	2,9775	4,13727	1,77983	2,6414	5,82863	2,9509	4,11483
28000	4,4135	2,3268	3,02593	4,162	1,8516	2,697	5,94693	3,0759	4,1034
28100	4,5342	2,3431	3,01537	4,21113	1,88913	2,68683	5,9159	2,91027	4,13527
28200	4,4357	2,27463	3,02257	4,1645	1,83677	2,65027	5,94243	2,9897	4,14447
28300	4,4694	2,33007	3,0451	4,21273	1,85597	2,6753	5,97857	3,0382	4,17617
28400	4,51453	2,36717	3,0674	4,23413	1,85623	2,7144	6,05697	3,01253	4,20743
28500	4,57433	2,33107	3,08797	4,2595	1,84513	2,70477	6,02163	2,86423	4,1883
